id,nome,cpf,idade,idmed,estado
1,Jose,86391312120,65,4,3
2,Maria,86391312120,34,34,1
5,Maria Clara,47832938903,5,8,2
8,Gilberto,12712021103,53,45,2
11,Raimunda,00921638767,87,46,2
12,Francisco,07942735822,37,34,2
13,Paulo,90129213820,12,34,2
14,Murilo,46942642291,40,4,3
15,Sabrina,31878147241,32,8,2
16,Coraline,32782300128,15,2,0
17,Marcelo,19801803980,62,33,3
18,Yan de Freitas,87064381232,18,45,3
19,Roberto,18780332837,65,47,2
20,Josevaldo,29861982270,45,32,0
21,Fidget Spinner,01289281235,90,34,3
